Name,Sex,index,Count
Abrihet,F,16510,5
Abril,F,136101,7813
Abril,M,28765,5
Abrille,F,26877,10
Abrina,F,275688,166
Abrion,M,56674,11
Abriona,F,61179,20
Abrionna,F,130455,54
Abrish,F,28044,73
Abriya,F,73565,29
Abriyah,F,31936,11
Abriyana,F,15418,6
Abrom,M,9328,6
Abron,M,421855,254
Abrum,M,266421,57
Abry,F,27439,13
Abryana,F,242963,182
Abryanna,F,228757,265
Abryella,F,45359,17
Abryelle,F,72313,32
Abryl,F,27784,14
Absalat,F,39519,41
Absalom,M,593491,167
Absalon,M,127310,33
Abshir,M,358090,75
Absidy,F,46448,17
Abtin,M,30289,6
Abu,M,930013,400
Abubacar,M,59546,14
Abubacarr,M,89294,20
Abubakar,M,626440,644
Abubakarr,M,211527,40
Abubakary,M,63225,10
Abubaker,M,141819,32
Abubakr,M,578604,400
Abuk,F,133910,54
Abukar,M,147134,33
Abundio,M,354797,203
Aby,F,233063,220
Aby,M,217997,56
Abyade,F,33664,10
Abyan,F,86716,38
Abyan,M,362304,123
Abygael,F,104350,43
Abygail,F,122019,2643
Abygaile,F,29079,13
Abygale,F,162306,342
Abygayle,F,206776,147
Abyssinia,F,59807,24
Ac,M,291613,119
Acacia,F,109590,3818
Acacius,M,29750,6
Acadia,F,177226,856
Acai,M,30140,5
Acamas,M,60518,11
Acari,F,13715,6
Acari,M,143748,38
Acasia,F,197908,120
Accacia,F,15906,26
Accalia,F,188632,98
Access,M,31499,6
Accie,M,8943,5
Accursio,M,6531,5
Ace,F,67975,35
Ace,M,1332432,10982
Acea,F,16873,5
Acea,M,313362,72
Acein,M,31788,5
Aceion,M,83119,24
Acel,M,83299,68
Acelee,F,16221,5
Acelia,F,10670,9
Acelin,F,43206,19
Acelin,M,338378,116
Acelino,M,27076,7
Acelyn,F,137244,446
Acelyn,M,90035,17
Acelynn,F,119126,756
Acen,M,362647,393
Acencion,M,44174,27
Aceon,M,173929,44
Acer,M,211971,44
Acesen,M,25601,10
Aceson,M,239223,284
Aceston,M,58336,12
Acesyn,M,175619,39
Aceton,M,255786,74
Acey,F,60998,23
Acey,M,872463,416
Aceyn,M,209725,111
Aceyon,M,30614,5
Achai,M,31500,6
Achaia,F,151725,62
Achaius,M,31180,5
Achan,F,16483,5
Achante,F,77089,35
Achanti,F,15457,5
Achary,M,97167,32
Achazia,F,14828,6
Achel,F,54185,39
Acheron,M,260619,63
Achille,M,494770,359
Achilleas,M,30615,5
Achilles,M,921738,2575
Achilleus,M,55999,22
Achillies,M,280392,88
Achim,M,30616,5
Achintya,M,205667,43
Achol,F,132612,72
Achraf,M,64071,10
Achsa,F,2852,12
Achsah,F,104831,81
Achyut,M,272058,58
Achyuth,M,208502,43
Acia,F,11780,6
Aciano,M,32068,5
Acie,F,97379,50
Acie,M,1456337,2043
Aciel,M,28895,7
Acil,M,19223,12
Acire,F,182060,71
Ackeem,M,112754,32
Ackley,F,15886,5
Ackley,M,85127,22
Acob,M,18308,5
Acquanetta,F,129302,254
Acquanette,F,12335,13
Acsa,F,159690,110
Acura,F,46469,26
Acxel,M,529675,225
Acy,F,17302,5
Acy,M,327866,274
Ad,M,97474,73
Ada,F,60356,95817
Ada,M,355044,277
Adabel,F,43742,26
Adabella,F,91388,165
Adabelle,F,153816,343
Adacia,F,13520,5
Adae,F,15888,5
Adae,M,32689,5
Adael,M,349836,258
Adaela,F,16224,5
Adaelyn,F,14830,6
Adaeze,F,274588,431
Adagio,M,87096,20
Adah,F,403564,3430
Adahir,M,201679,56
Adahli,F,35730,23
Adahlia,F,124096,121
Adahy,M,30292,6
Adai,F,57777,24
Adaia,F,123432,128
Adaiah,F,231827,270
Adaiah,M,262351,65
Adaija,F,86076,34
Adaijah,F,155307,82
Adailyn,F,23413,16
Adain,M,480135,321
Adair,F,448663,1271
Adair,M,1049272,1471
Adaira,F,223869,171
Adaire,F,108048,45
Adairis,F,17192,5
Adaisha,F,170231,119
Adaisia,F,12065,7
Adaiya,F,14091,6
Adaiyah,F,15614,5
Adaja,F,118484,100
Adajah,F,119630,77
Adaku,F,8151,7
Adal,M,465915,321
Adala,F,4967,5
Adalade,F,16559,5
Adalae,F,95798,205
Adalai,F,166578,99
Adalaide,F,149884,251
Adalaina,F,12397,7
Adalay,F,153633,147
Adalaya,F,83401,94
Adalayah,F,9746,10
Adalayde,F,27545,13
Adalayna,F,13719,6
Adalbert,M,111665,94
Adalberto,M,1244081,4472
Adale,F,25713,10
Adalea,F,113969,69
Adaleah,F,89783,101
Adalee,F,180391,2341
Adaleen,F,112779,83
Adaleena,F,72800,75
Adalei,F,130842,148
Adaleia,F,41181,20
Adaleigh,F,88889,1065
Adaleine,F,29739,12
Adalen,F,100470,44
Adalena,F,106329,412
Adalene,F,231814,591
Adaley,F,89037,241
Adaleya,F,68507,33
Adaleyza,F,62323,38
Adalhi,F,13395,5
Adali,F,170301,477
Adali,M,104376,24
Adalia,F,315956,1725
Adaliah,F,115873,148
Adalicia,F,83546,42
Adalid,F,32163,11
Adalid,M,457384,113
Adalida,F,100273,116
Adalie,F,139940,1507
